TITLE = vY-vT
Variables = "x [m]", "y [m]","Residuals [K]"
ZONE, i= 24, j= 24, f=point, STRANDID=  1,SOLUTIONTIME=  2.000000E-02
  2.500000E-03   2.500000E-03  -2.493960E+03
  2.500000E-03   7.500000E-03   4.975773E+03
  2.500000E-03   1.250000E-02  -4.488230E+02
  2.500000E-03   1.750000E-02   3.801035E+02
  2.500000E-03   2.250000E-02  -1.688955E+03
  2.500000E-03   2.750000E-02  -3.063852E+03
  2.500000E-03   3.250000E-02   5.270058E+03
  2.500000E-03   3.750000E-02  -8.273095E+03
  2.500000E-03   4.250000E-02   2.306133E+02
  2.500000E-03   4.750000E-02   2.228277E+03
  2.500000E-03   5.250000E-02   2.426448E+03
  2.500000E-03   5.750000E-02  -2.238901E+02
  2.500000E-03   6.250000E-02   1.069167E+03
  2.500000E-03   6.750000E-02   2.920455E+03
  2.500000E-03   7.250000E-02   5.939474E+03
  2.500000E-03   7.750000E-02  -1.822364E+03
  2.500000E-03   8.250000E-02   6.897955E+03
  2.500000E-03   8.750000E-02  -2.251275E+03
  2.500000E-03   9.250000E-02  -7.494830E+03
  2.500000E-03   9.750000E-02   3.445523E+03
  2.500000E-03   1.025000E-01   3.722614E+03
  2.500000E-03   1.075000E-01   5.546059E+03
  2.500000E-03   1.125000E-01   9.584131E+02
  2.500000E-03   1.175000E-01   1.538945E+03
  7.500000E-03   2.500000E-03   4.593171E+03
  7.500000E-03   7.500000E-03  -3.316499E+03
  7.500000E-03   1.250000E-02   2.042553E+03
  7.500000E-03   1.750000E-02  -5.745209E+03
  7.500000E-03   2.250000E-02  -2.825917E+02
  7.500000E-03   2.750000E-02  -4.660657E+03
  7.500000E-03   3.250000E-02   2.687501E+03
  7.500000E-03   3.750000E-02   5.471134E+03
  7.500000E-03   4.250000E-02  -8.781341E+01
  7.500000E-03   4.750000E-02   8.218046E+03
  7.500000E-03   5.250000E-02   1.911335E+03
  7.500000E-03   5.750000E-02  -7.841868E+03
  7.500000E-03   6.250000E-02   9.465894E+03
  7.500000E-03   6.750000E-02  -4.520526E+03
  7.500000E-03   7.250000E-02   3.986982E+03
  7.500000E-03   7.750000E-02   2.190491E+03
  7.500000E-03   8.250000E-02   1.484872E+03
  7.500000E-03   8.750000E-02   6.914082E+03
  7.500000E-03   9.250000E-02   1.198388E+03
  7.500000E-03   9.750000E-02  -2.822492E+03
  7.500000E-03   1.025000E-01   2.126077E+03
  7.500000E-03   1.075000E-01   1.589063E+03
  7.500000E-03   1.125000E-01  -5.625906E+03
  7.500000E-03   1.175000E-01   9.293167E+03
  1.250000E-02   2.500000E-03  -8.201861E+03
  1.250000E-02   7.500000E-03   9.350204E+02
  1.250000E-02   1.250000E-02   4.099801E+03
  1.250000E-02   1.750000E-02  -8.622088E+03
  1.250000E-02   2.250000E-02   3.942681E+03
  1.250000E-02   2.750000E-02  -9.717635E+03
  1.250000E-02   3.250000E-02   2.809407E+03
  1.250000E-02   3.750000E-02   9.349213E+02
  1.250000E-02   4.250000E-02   2.183643E+03
  1.250000E-02   4.750000E-02  -1.410899E+03
  1.250000E-02   5.250000E-02   2.161351E+03
  1.250000E-02   5.750000E-02   3.476861E+03
  1.250000E-02   6.250000E-02   5.901820E+03
  1.250000E-02   6.750000E-02  -1.645658E+03
  1.250000E-02   7.250000E-02  -3.419168E+03
  1.250000E-02   7.750000E-02  -4.471875E+03
  1.250000E-02   8.250000E-02   3.492545E+02
  1.250000E-02   8.750000E-02  -2.327079E+03
  1.250000E-02   9.250000E-02   1.060358E+04
  1.250000E-02   9.750000E-02  -8.967819E+01
  1.250000E-02   1.025000E-01   1.120591E+03
  1.250000E-02   1.075000E-01  -2.710000E+03
  1.250000E-02   1.125000E-01   2.219676E+03
  1.250000E-02   1.175000E-01  -3.022392E+03
  1.750000E-02   2.500000E-03   3.998639E+02
  1.750000E-02   7.500000E-03   1.726029E+03
  1.750000E-02   1.250000E-02  -3.560718E+03
  1.750000E-02   1.750000E-02  -2.061875E+03
  1.750000E-02   2.250000E-02   7.610263E+03
  1.750000E-02   2.750000E-02   2.206740E+03
  1.750000E-02   3.250000E-02  -8.266672E+03
  1.750000E-02   3.750000E-02  -2.965290E+02
  1.750000E-02   4.250000E-02  -6.926758E+03
  1.750000E-02   4.750000E-02   3.413841E+03
  1.750000E-02   5.250000E-02   3.094768E+03
  1.750000E-02   5.750000E-02  -1.187640E+02
  1.750000E-02   6.250000E-02  -4.444178E+03
  1.750000E-02   6.750000E-02  -1.356923E+03
  1.750000E-02   7.250000E-02   1.214477E+03
  1.750000E-02   7.750000E-02  -1.961058E+03
  1.750000E-02   8.250000E-02   1.717026E+03
  1.750000E-02   8.750000E-02   5.308366E+03
